code,where,scale
1528,Sweden,regional
1528,Sweden,regional
1529,Canada,regional
1533,Argentina,regional
1533,Argentina,regional
1540,Australia,regional
1540,United States of America,regional
1540,Mexico,regional
1540,Germany,regional
1540,Bulgaria,regional
1540,Moldova,regional
1540,Ukraine,regional
1540,Romania,regional
1540,Republic of Serbia,regional
1540,Croatia,regional
1540,Hungary,regional
1540,Slovakia,regional
1540,Austria,regional
1541,Seychelles,regional
1541,Chagos,regional
1541,Australia,regional
1541,Maldives,regional
1543,Belgium,regional
1546,Palau,regional
1547,Holartic region,regional
1549,Sweden,regional
1551,Israel,regional
1552,Colombia,regional
1557,Brazil,regional
1558,United Kingdom,regional
1564,Mexico,regional
1570,Bolivia,regional
1575,Brazil,regional
1579,France,regional
1592,Germany,regional
1593,Switzerland,regional
1593,Switzerland,regional
1593,Switzerland,regional
1593,Switzerland,regional
1599,Italy,regional
1601,Spain,regional
1612,Madagascar,regional
1615,United States of America,regional
1615,United States of America,regional
1621,United States of America,regional
1623,Brazil,regional
1628,Sweden,regional
1632,Finland,regional
1633,Portugal,regional
1635,France,regional
1642,Brazil,regional
1648,Brazil,regional
1654,Mediterranean Sea,regional
1661,Peru,regional
1664,Chile,regional
1674,Finland,regional
1674,Republic of Serbia,regional
1674,Italy,regional
1674,Spain,regional
1674,France,regional
1674,United Kingdom,regional
1674,Belgium,regional
1674,Netherlands,regional
1674,Germany,regional
1674,Austria,regional
1674,Hungary,regional
1674,Romania,regional
1674,Sweden,regional
1683,France,regional
1685,Netherlands,regional
1692,Brazil,regional
1694,Hungary,regional
1701,Mediterranean Sea,regional
1701,Red Sea,regional
1704,Finland,regional
1706,Norway,regional
1719,Australia,regional
1720,United States of America,regional
1721,Morocco,regional
1721,Algeria,regional
1721,Tunisia,regional
1726,United States of America,regional
1726,Canada,regional
1726,Mexico,regional
1726,Belize,regional
1726,Costa Rica,regional
1726,Panama,regional
1726,Nicaragua,regional
1726,Honduras,regional
1726,Guatemala,regional
1727,Japan,regional
1735,Spain,regional
1736,Arabian Sea,regional
1737,Ukraine,regional
1737,Poland,regional
1737,Denmark,regional
1738,Brazil,regional
1739,Bolivia,regional
1744,Finland,regional
1753,China,regional
1759,Brazil,regional
1761,Brazil,regional
1783,United States of America,regional
1792,United Kingdom,regional
1793,Mediterranean Sea,regional
1799,Brazil,regional
1802,Mexico,regional
1813,United States of America,regional
1816,Papua New Guinea,regional
1821,United States of America,regional
1827,Canada,regional
1827,United States of America,regional
1827,Mexico,regional
1834,Brazil,regional
1837,Brazil,regional
1850,Germany,regional
1850,Germany,regional
1855,United States of America,regional
1856,Brazil,regional
1865,Australia,regional
1869,Kenya,regional
1869,Chad,regional
1869,Niger,regional
1869,Angola,regional
1869,Rwanda,regional
1869,Mali,regional
1869,Burkina Faso,regional
1869,United Republic of Tanzania,regional
1869,Guinea,regional
1869,Morocco,regional
1869,Mauritania,regional
1869,Zambia,regional
1869,Algeria,regional
1869,Cameroon,regional
1869,Mozambique,regional
1869,Burundi,regional
1869,Democratic Republic of the Congo,regional
1869,Republic of the Congo,regional
1869,Tunisia,regional
1869,Uganda,regional
1869,Nigeria,regional
1869,Senegal,regional
1869,Egypt,regional
1869,South Africa,regional
1869,Zimbabwe,regional
1869,Malawi,regional
1869,Botswana,regional
1869,Gabon,regional
1869,Ivory Coast,regional
1869,Central African Republic,regional
1869,Namibia,regional
1869,Ethiopia,regional
1872,Spain,regional
1879,Spain,regional
1879,Italy,regional
1879,Germany,regional
1879,Romania,regional
1879,Finland,regional
1879,Poland,regional
1880,India,regional
1884,Canada,regional
1886,Brazil,regional
1887,Portugal,regional
1896,United Kingdom,regional
1897,Canary Islands,regional
1897,Canary Islands,regional
1904,France,regional
1910,United States of America,regional
1914,Iran,regional
1914,Costa Rica,regional
1921,New Zealand,regional
1923,Finland,regional
1925,Italy,regional
1930,Spain,regional
1940,Neotropical Region,regional
1941,France,regional
1952,Costa Rica,regional
1964,Switzerland,regional
1975,Bolivia,regional
1996,Madagascar,regional
2007,France,regional
2017,United States of America,regional
2025,Finland,regional
2041,Germany,regional
2043,Spain,regional
2052,Brazil,regional
2066,United States of America,regional
2068,Portugal,regional
2068,Portugal,regional
2072,New Zealand,regional
2074,Indonesia,regional
2078,Netherlands,regional
2080,Brazil,regional
2080,Australia,regional
2083,Mexico,regional
2085,Germany,regional
2091,France,regional
2101,Greece,regional
2106,Baltic Sea,regional
2116,Germany,regional
2117,Mediterranean Sea,regional
2119,Brazil,regional
2120,Austria,regional
2124,Europe,regional
2127,Norway,regional
2144,Southern Africa,regional
2144,Southern Africa,regional
2157,Norway,regional
2158,United States of America,regional
2161,Italy,regional
2165,Peru,regional
2180,Brazil,regional
2181,Canada,regional
2190,Brazil,regional
2195,Australia,regional
2196,Albania,regional
2200,Norway,regional
2202,Costa Rica,regional
2204,United States of America,regional
2212,Colombia,regional
2222,Korea No Mans Area,regional
2223,Peru,regional
2233,Turkmenistan,regional
2233,Tajikistan,regional
2233,Sweden,regional
2233,Azerbaijan,regional
2233,Slovakia,regional
2233,Kyrgyzstan,regional
2233,Armenia,regional
2233,Mongolia,regional
2233,Uzbekistan,regional
2233,Kazakhstan,regional
2233,Russia,regional
2233,Georgia,regional
2249,Brazil,regional
2252,United States of America,regional
2261,Chile,regional
2272,Northeast Pacific,regional
2287,Australia,regional
2298,Indonesia,regional
2301,Canada,regional
2303,Brazil,regional
2324,Brazil,regional
2325,Europe,regional
2327,Norway,regional
2327,Sweden,regional
2327,Finland,regional
2327,Russia,regional
2329,Japan,regional
2336,Brazil,regional
2356,Germany,regional
2366,Portugal,regional
2368,Australia,regional
2374,Mediterranean Sea,regional
2384,Portugal,regional
2384,Spain,regional
2385,Canada,regional
2390,Germany,regional
2390,Denmark,regional
2390,Norway,regional
2393,Australia,regional
2413,Brazil,regional
2417,United States of America,regional
2419,Mediterranean Sea,regional
2423,Sweden,regional
2429,Costa Rica,regional
2429,Costa Rica,regional
2430,Sudan,regional
2430,Mauritania,regional
2430,Mali,regional
2430,Morocco,regional
2430,Senegal,regional
2430,Tunisia,regional
2430,Algeria,regional
2430,Libya,regional
2430,Egypt,regional
2430,Sudan,regional
2430,Chad,regional
2430,Niger,regional
2430,Burkina Faso,regional
2433,Canada,regional
2436,United States of America,regional
2437,Brazil,regional
2439,United States of America,regional
2451,Australia,regional
2453,Brazil,regional
2468,Paraguay,regional
2468,Argentina,regional
2480,Colombia,regional
2481,Colombia,regional
2482,Brazil,regional
2485,Australia,regional
2490,Costa Rica,regional
2494,Spain,regional
2499,Canada,regional
2501,Australia,regional
2510,France,regional
2513,Germany,regional
2517,Brazil,regional
2521,France,regional
2538,Malaysia,regional
2555,Norway,regional
2561,Argentina,regional
2564,Spain,regional
2564,Greece,regional
2564,Turkey,regional
2564,Montenegro,regional
2564,Lebanon,regional
2564,Syria,regional
2564,Cyprus,regional
2564,Egypt,regional
2564,Malta,regional
2564,Algeria,regional
2564,Morocco,regional
2564,Tunisia,regional
2564,Israel,regional
2564,Albania,regional
2564,Bosnia and Herzegovina,regional
2564,Croatia,regional
2564,Slovenia,regional
2564,Italy,regional
2564,France,regional
2571,North Pacific,regional
2611,Spain,regional
2617,Norway,regional
2625,Finland,regional
2628,Brazil,regional
2628,Brazil,regional
2635,Spain,regional
2639,New Zealand,regional
2640,Australia,regional
2641,Brazil,regional
2641,Colombia,regional
2641,Ecuador,regional
2641,Peru,regional
2641,Uruguay,regional
2641,Guyana,regional
2641,Guyana,regional
2641,Suriname,regional
2641,Paraguay,regional
2641,Argentina,regional
2641,Venezuela,regional
2641,Bolivia,regional
2641,Chile,regional
2647,Southern Ocean,regional
932,Western Mediterranean,regional
932,Central-Eastern Mediterranean,regional
2650,Spain,regional
2652,Mediterranean Sea,regional
2658,France,regional
2671,Sweden,regional
2671,Estonia,regional
2671,Netherlands,regional
2671,Germany,regional
2673,South Africa,regional
2675,South Africa,regional
2675,South Africa,regional
2676,Malaysia,regional
2676,Malaysia,regional
2685,Argentina,regional
2685,Bolivia,regional
2685,Brazil,regional
2685,Chile,regional
2685,Colombia,regional
2685,Ecuador,regional
2685,Guyana,regional
2685,Paraguay,regional
2685,Peru,regional
2685,Suriname,regional
2685,Uruguay,regional
2685,Venezuela,regional
2685,Guyana,regional
2685,Belize,regional
2685,Costa Rica,regional
2685,El Salvador,regional
2685,Guatemala,regional
2685,Honduras,regional
2685,Nicaragua,regional
2685,Panama,regional
2685,Mexico,regional
2696,Mediterranean Sea,regional
2703,Europe,regional
2703,Europe,regional
2728,Argentina,regional
2732,New Zealand,regional
2734,Australia,regional
2744,United States of America,regional
2756,France,regional
2776,India,regional
2781,Sweden,regional
2788,France,regional
2809,Portugal,regional
2809,Spain,regional
2809,France,regional
2809,Italy,regional
2809,Belgium,regional
2809,Switzerland,regional
2809,Germany,regional
2809,Czech Republic,regional
2809,Austria,regional
2809,Croatia,regional
2809,Hungary,regional
2809,Bosnia and Herzegovina,regional
2809,Republic of Serbia,regional
2809,Albania,regional
2809,Greece,regional
2809,Bulgaria,regional
2809,Poland,regional
2809,Lithuania,regional
2809,Latvia,regional
2809,Estonia,regional
