code,where,scale,lat_GD,long_GD
2491,Brazil,local,,
2493,France,local,,
2503,Brazil,local,,
2504,Spain,local,,
2507,Germany,local,,
2509,France,local,,
2515,Israel,local,,
2516,United States of America,local,,
2522,China,local,43.95,4.816
2534,Czech Republic,local,,
2537,Egypt,local,45.401,93.201
2543,United States of America,local,,
2556,Australia,local,,
2557,Japan,local,28.55,33.93333333
2558,United States of America,local,,
2565,Canada,local,,
2566,France,local,,
2569,Germany,local,,
2575,Brazil,local,,
2583,France,local,49.12656389,4.679525
2589,China,local,,
2592,Australia,local,,
2593,Colombia,local,,
2608,Switzerland,local,,
2613,Brazil,local,,
2615,Czech Republic,local,,
2649,Bolivia,local,,
2655,France,local,,
2659,Peru,local,,
2672,Switzerland,local,,
2684,Peru,local,,
2688,United States of America,local,,
2689,France,local,,
2691,Portugal,local,,
2691,Portugal,local,,
2702,Peru,local,,
2710,Portugal,local,,
2711,United States of America,local,,
2714,Kenya,local,,
2742,China,local,,
2751,Sweden,local,,
2751,Sweden,local,,
2771,Italy,local,,
2772,United States of America,local,,
2773,United States of America,local,,
2778,Italy,local,,
2785,United Kingdom,local,,
2796,Panama,local,,
2807,Australia,local,,
2812,United States of America,local,,
2817,United States of America,local,,
2823,Australia,local,-14.66888889,145.4594444
2824,United States of America,local,,
2831,Australia,local,,
2835,United States of America,local,,
2847,Sweden,local,,
2852,Brazil,local,,
2855,United States of America,local,,
2857,United States of America,local,63.833.333,20.250.000
2861,Germany,local,,
2868,China,local,,
2872,Greece,local,,
2878,France,local,,
2879,China,local,31.07,103.72
2882,New Zealand,local,,
2894,Uganda,local,,
2902,Mexico,local,,
2912,Australia,local,,
2913,United States of America,local,,
2915,Australia,local,,
2922,South Africa,local,,
2934,France,local,,
2940,France,local,,
2951,Canada,local,,
2953,Canada,local,,
2968,Australia,local,,
2973,Greece,local,,
2987,Italy,local,46.79287,66.48058
2988,Spain,local,,
2988,Spain,local,,
2992,Spain,local,38.75,22.51666667
2994,Czech Republic,local,,
3004,Argentina,local,40.88333333,-2.166666667
3006,Germany,local,40.88333333,-2.166666667
3016,Japan,local,,
3023,France,local,,
3034,France,local,,
3037,Switzerland,local,,
3057,China,local,,
3061,Spain,local,,
3068,Germany,local,,
3072,Morocco,local,,
3076,Ireland,local,,
3076,Ireland,local,,
3100,Germany,local,,
3102,Germany,local,,
3128,Brazil,local,,
3149,United States of America,local,,
3160,Spain,local,,
3174,Australia,local,,
3190,India,local,,
3202,United Kingdom,local,,
3245,Germany,local,,
3265,Portugal,local,,
3270,Australia,local,,
3273,Portugal,local,,
3280,France,local,,
3281,Indonesia,local,,
3283,Greece,local,,
3293,Switzerland,local,,
3300,United States of America,local,45.34,6.34
3316,Senegal,local,-1.033333333,116.7833333
3325,Brazil,local,,
3331,Tunisia,local,,
3338,Sweden,local,,
3345,France,local,,
3352,South Africa,local,,
3371,Madagascar,local,,
3423,United States of America,local,,
3439,United Kingdom,local,49.016.667,2.166.667
3446,United Kingdom,local,,
3447,Dominica,local,-21.4486,-47.0869
3457,United States of America,local,,
3984,United States of America,local,,
3989,United States of America,local,52.03333333,1.933333333
4004,Ireland,local,,
4039,United States of America,local,,
4040,France,local,,
4053,Germany,local,,
4073,Switzerland,local,,
4087,Germany,local,,
4090,Mediterranean Sea,local,,
4091,Sweden,local,,
4093,Colombia,local,,
4102,Ivory Coast,local,,
4132,United Kingdom,local,,
4142,United States of America,local,,
4180,France,local,,
4200,United States of America,local,,
4200,United States of America,local,,
4235,Ireland,local,,
4309,United States of America,local,,
4318,United Kingdom,local,,
4700,Cameroon,local,,
5081,Australia,local,,
5089,France,local,,
5093,Canada,local,57.35694444,-2.433333333
5103,Ecuador,local,,
5193,France,local,,
5573,Chile,local,,
5577,Italy,local,,
5625,Portugal,local,,
5628,Netherlands,local,,
5640,Germany,local,,
5649,United States of America,local,,
5718,Denmark,local,,
5721,Cameroon,local,,
5764,United States of America,local,,
5767,France,local,,
5817,Portugal,local,,
5843,Malaysia,local,,
5891,France,local,,
5930,Mexico,local,,
5941,Switzerland,local,,
6049,Japan,local,,
6086,France,local,,
6090,Spain,local,,
6095,Portugal,local,,
6144,Italy,local,24.33444444,124.1561111
6159,Australia,local,,
6195,Colombia,local,,
6317,Germany,local,,
6329,Netherlands,local,,
6385,Germany,local,,
6497,Czech Republic,local,,
6516,Brazil,local,,
6517,Denmark,local,,
6527,Czech Republic,local,50.96666667,13.57111111
6575,China,local,,
6591,France,local,,
6610,Brazil,local,,
6611,Denmark,local,49.828,18.29888889
6614,Colombia,local,,
6615,Greece,local,,
6619,Mexico,local,,
6641,Sweden,local,,
6696,The Bahamas,local,,
6719,Uruguay,local,,
6729,Brazil,local,,
6755,Brazil,local,60.81666667,16.5
6759,Canada,local,,
6761,Colombia,local,,
6762,Tunisia,local,,
6791,United States of America,local,,
6795,Netherlands,local,,
6800,Antarctica,local,,
6810,Brazil,local,,
6835,France,local,,
6854,Hungary,local,,
6855,Brazil,local,,
6875,France,local,,
6911,Portugal,local,,
